RHO_AGREE_THRESHOLD,SIGMA_THETA,K_SIGNS,rdiff_vhigh,H2_vhigh_t,H2_vhigh_p,H1_F,H1_p,neg_rate,H4_slope,H4_r2
0.3,0.1,10,1.8022635302271794,0.8218670406759553,0.4145344592083188,1.6368974914052625,0.20051808125087967,0.20122222222222222,-0.7238648170389858,0.6702883602614879
0.7,0.1,10,1.7216081266997918,0.8360608599657684,0.4065624710797213,1.6368974914052625,0.20051808125087967,0.4567777777777778,-0.7250318675864104,0.6463011071513243
0.5,0.1,10,1.4918477589544121,0.6800805791869886,0.4991722628299827,1.6368974914052625,0.20051808125087967,0.3018888888888889,-0.7270487633618735,0.6698179462832885
0.3,0.1,5,1.3223473120044318,0.5684993366923474,0.5720003152317394,0.6566125159715013,0.5211558244727175,0.2157222222222222,-0.8142858504813651,0.7236981596789323
0.9,0.1,10,1.159574939034096,0.5646250012442415,0.5745142775936473,1.6368974914052625,0.20051808125087967,0.6403333333333333,-0.7353752482805542,0.6662394223402553
0.5,0.1,5,0.4205976925485029,0.19896435450302852,0.8429889948468684,0.6566125159715013,0.5211558244727175,0.305,-0.8140114909084165,0.6271399758457215
0.7,0.1,5,0.24597284922982077,0.1089787626965067,0.9136070912094515,0.6566125159715013,0.5211558244727175,0.44066666666666665,-0.8138887207878828,0.6262511766207272
0.9,0.1,5,0.16592393804113748,0.07187036600343488,0.9429634402691167,0.6566125159715013,0.5211558244727175,0.6277777777777778,-0.8150841332480645,0.6300503487348863
0.3,0.5,3,-0.08583133045362601,-0.04168457255033665,0.9668998530031766,0.6008954202119345,0.5505800290189355,0.20255555555555557,-0.7595652382795257,0.693766396935436
0.5,0.5,3,-0.26237215735359065,-0.11833029621520376,0.9062157122206973,0.6008954202119345,0.5505800290189355,0.30627777777777776,-0.7622079664718415,0.7051060958557136
0.7,0.5,10,-0.838312639778346,-0.3961288796322511,0.693470352931332,1.4181479315068586,0.24770375480921142,0.46355555555555555,-0.7596695377067203,0.7341646440212418
0.3,0.5,10,-0.9480852703300702,-0.4261456200041662,0.6715808519418305,1.4181479315068586,0.24770375480921142,0.1887777777777778,-0.7635284618227828,0.728604776477226
0.5,0.3,3,-1.0024769405024365,-0.4602148672496892,0.6474274882301223,0.03105524921479112,0.9694327531553756,0.32238888888888895,-0.7796445674247481,0.5731520959147552
